Detail,Company Name,Vehicle,Datum,Causes,Heritage Category,Cost (M USD),Spaceport,Phase,EL_fuzzy,EL_markov,R_final,LDF,R_learned,Tier_R_final,Tier_R_learned
Falcon 1 | DemoSat,SpaceX,Falcon 1,3/21/2007,GNC,New,7,Omelek Island,Upper Stage Burn,3.52,3.6,3.56,0.9778,3.48,Low,Low
Atlas V 401 | NROL-30 & NOSS-3,ULA,Atlas V 401,6/15/2007,Propulsion,Low,109,Cape Canaveral / Kennedy Space Center,Orbit Insertion,26.56,24.18,25.37,1,25.37,Medium,Medium
GSLV Mk I | INSAT-4CR,ISRO,GSLV Mk I,9/2/2007,Propulsion,New,47,Satish Dhawan Space Centre,Orbit Insertion,18.64,14.02,16.33,1.3556,22.13,Medium,Medium
Proton-M/Briz-M | JCSat-11,ILS,Proton-M/Briz-M,9/5/2007,Structural,High,65,Omelek Island,Liftoff Ascent,1.44,12.82,7.13,0.8444,6.02,Low,Low
Proton-M/Briz-M | AMC-14,ILS,Proton-M/Briz-M,3/15/2008,Propulsion,High,65,Baikonur Cosmodrome,Upper Stage Burn,35.91,41.54,38.73,1.1556,44.76,High,High
Falcon 1 | Flight 3,SpaceX,Falcon 1,8/3/2008,Separation System,Low,7,Vandenberg Space Force Base,Upper Stage Burn,3.29,3.49,3.39,0.8222,2.79,Low,Low
Minotaur C (Taurus) | Orbiting Carbon Observatory,Northrop,Minotaur C (Taurus),2/24/2009,Separation System,New,45,Satish Dhawan Space Centre,Payload Fairing Separation,22.12,15.56,18.84,1,18.84,Medium,Medium
Soyuz 2.1a/Fregat-M | Meridian nÂ°12L,VKS RF,Soyuz 2.1a/Fregat-M,5/22/2009,Propulsion,Low,23,Plesetsk Cosmodrome,Upper Stage Burn,14.87,15.91,15.39,1,15.39,Medium,Medium
GSLV Mk II | GSAT-4,ISRO,GSLV Mk II,4/15/2010,Propulsion,New,47,Vandenberg Space Force Base,Upper Stage Burn,27.67,26.19,26.93,1,26.93,Medium,Medium
Proton-M/DM-03 | Glonass-M Block 43,Roscosmos,Proton-M/DM-03,12/5/2010,Propulsion,High,65,Baikonur Cosmodrome,Upper Stage Burn,42.07,44.62,43.34,1,43.34,High,High
GSLV Mk I | GSAT-5P,ISRO,GSLV Mk I,12/25/2010,GNC,Low,47,Satish Dhawan Space Centre,Liftoff Ascent,1.06,9.28,5.17,0.8,4.14,Low,Low
Rokot/Briz KM | Cosmos 2470,VKS RF,Rokot/Briz KM,2/1/2011,GNC,Medium,13,Plesetsk Cosmodrome,Upper Stage Burn,8.68,9.13,8.91,1,8.91,Low,Low
"Minotaur C (Taurus) | Glory, KySat-1, Hermes, and Explorer-1 [PRIME]",Northrop,Minotaur C (Taurus),3/4/2011,Separation System,Low,45,Wallops Flight Facility,Payload Fairing Separation,17.81,13.4,15.61,1.2444,19.42,Medium,Medium
Proton-M/Briz-M | Ekspress AM4,Roscosmos,Proton-M/Briz-M,8/17/2011,GNC,High,65,Cape Canaveral / Kennedy Space Center,Upper Stage Burn,14.35,24.27,19.31,1,19.31,Medium,Medium
Long March 2C | Shijian-11 04,CASC,Long March 2C,8/18/2011,GNC,High,30.8,Pacific Missile Range Facility,Upper Stage Burn,7.65,11.92,9.79,1,9.79,Low,Low
Falcon 9 v1.0 | CRS XpS-1 & OG2,SpaceX,Falcon 9 v1.0,10/8/2012,Propulsion,Low,59.5,Cape Canaveral / Kennedy Space Center,Liftoff Ascent,18.72,20.44,19.58,1,19.58,Medium,Medium
Proton-M/Briz-M | Yamal-402,ILS,Proton-M/Briz-M,12/8/2012,Propulsion,High,65,Baikonur Cosmodrome,Upper Stage Burn,33.23,40.21,36.72,1.2,44.06,High,High
Rokot/Briz KM | Cosmos 2482 to 2484,VKS RF,Rokot/Briz KM,1/15/2013,GNC,Medium,13,Plesetsk Cosmodrome,Upper Stage Burn,8.41,9,8.71,1.3778,11.99,Low,Medium
"Proton-M/DM-3 | Cosmos 2488, 2489 & 2490",VKS RF,Proton-M/DM-3,7/2/2013,GNC,New,65,Taiyuan Satellite Launch Center,Liftoff Ascent,33.22,22.3,27.76,1,27.76,Medium,Medium
Soyuz ST-B/Fregat | Galileo FOC FM01-FM02,Arianespace,Soyuz ST-B/Fregat,8/22/2014,Propulsion,High,30,Guiana Space Centre,Upper Stage Burn,8.79,12.28,10.54,1,10.54,Medium,Medium
Proton-M/Briz-M | Ekspress-AM6,Roscosmos,Proton-M/Briz-M,10/21/2014,Propulsion,High,65,Baikonur Cosmodrome,Upper Stage Burn,37.03,42.1,39.57,0.9778,38.69,High,High
Antares 130 | CRS Orb-3,Northrop,Antares 130,10/28/2014,Propulsion,New,80,Satish Dhawan Space Centre,Liftoff Ascent,28.46,29.12,28.79,1,28.79,Medium,Medium
Falcon 9 v1.1 | CRS-7,SpaceX,Falcon 9 v1.1,6/28/2015,Structural,High,56.5,Taiyuan Satellite Launch Center,Upper Stage Burn,33.34,37.17,35.25,1,35.25,High,High
"Super Stripy | HiakaSat, STACEM & Others",Sandia,Super Stripy,11/4/2015,GNC,New,15,Guiana Space Centre,Liftoff Ascent,5.45,5.52,5.48,1,5.48,Low,Low
Long March 4C | Gaofen-10,CASC,Long March 4C,8/31/2016,Propulsion,Low,64.68,Rocket Lab Launch Complex 1,Upper Stage Burn,11.65,25.64,18.64,1,18.64,Medium,Medium
"Long March 2D | SuperView-1 1, 2 & Bayi Kepu 1",CASC,Long March 2D,12/28/2016,Propulsion,Medium,29.75,Taiyuan Satellite Launch Center,Upper Stage Burn,20.62,21.11,20.87,1,20.87,Medium,Medium
Electron | It's a Test,Rocket Lab,Electron,5/25/2017,Propulsion,New,7.5,Rocket Lab Launch Complex 1,Liftoff Ascent,0.92,1.53,1.23,1,1.23,Low,Low
Long March 3B/E | ChinaSat 9A,CASC,Long March 3B/E,6/18/2017,GNC,Medium,29.15,Xichang Satellite Launch Center,Orbit Insertion,16.25,11.04,13.65,1,13.65,Medium,Medium
Soyuz 2.1a/Fregat | Kanopus-V IK & Rideshares,Roscosmos,Soyuz 2.1a/Fregat,7/14/2017,GNC,New,48.5,Baikonur Cosmodrome,Upper Stage Burn,41.51,38.35,39.93,1,39.93,High,High
PSLV-XL | IRNSS-1H,ISRO,PSLV-XL,8/31/2017,Separation System,High,31,Jiuquan Satellite Launch Center,Payload Fairing Separation,22.2,14.2,18.2,1,18.2,Medium,Medium
Ariane 5 ECA | SES-14/GOLD & Al Yah-3,Arianespace,Ariane 5 ECA,1/25/2018,Propulsion,High,200,Guiana Space Centre,Orbit Insertion,0,20,10,0.9778,9.78,Medium,Low
Long March 4C | Yaogan Weixing-33,CASC,Long March 4C,5/22/2019,Propulsion,Medium,64.68,Mojave Air and Space Port,Upper Stage Burn,36.25,38.87,37.56,1.2444,46.74,High,High
Vega | Falcon Eye 1,Arianespace,Vega,7/11/2019,Propulsion,High,37,Xichang Satellite Launch Center,Upper Stage Burn,20.44,22.09,21.27,1,21.27,Medium,Medium
Long March 3B/E | Nusantara Dua,CASC,Long March 3B/E,4/9/2020,Propulsion,High,29.15,Pacific Spaceport Complex,Upper Stage Burn,12.13,15.26,13.69,0.8444,11.56,Medium,Medium
LauncherOne | Demo Flight,Virgin Orbit,LauncherOne,5/25/2020,Propulsion,New,12,Guiana Space Centre,Upper Stage Burn,6.45,6.38,6.42,1,6.42,Low,Low
Electron/Curie | Pics Or It Didn??Ã‚Â¦t Happen,Rocket Lab,Electron/Curie,7/4/2020,Electrical Connection,High,15,Pacific Spaceport Complex,Liftoff Ascent,1.79,2.94,2.37,1,2.37,Low,Low
"Kuaizhou 11 | Jilin-1 02E, CentiSpace-1 S2",ExPace,Kuaizhou 11,7/10/2020,Propulsion,New,28.3,Jiuquan Satellite Launch Center,Upper Stage Burn,28.26,24.4,26.33,1,26.33,Medium,Medium
Kuaizhou-1A | Jilin-1 Gaofen-02C,ExPace,Kuaizhou-1A,9/12/2020,Propulsion,Medium,5.8,Satish Dhawan Space Centre,Upper Stage Burn,3.48,3.26,3.37,1,3.37,Low,Low
Vega VV17 | SEOSAT-Ingenio & Taranis,Arianespace,Vega,11/17/2020,Separation System,High,37,Pacific Spaceport Complex,Upper Stage Burn,21.15,22.24,21.69,0.9778,21.21,Medium,Medium
Astra Rocket 3.1 | Test Flight,Astra Space,Astra Rocket 3.1,12/9/2020,GNC,New,2.5,Rocket Lab Launch Complex 1,Liftoff Ascent,0.28,0.49,0.39,1,0.39,Low,Low
Astra Rocket 3.2 | Orbital Launch Attempt,Astra Space,Astra Rocket 3.2,12/16/2020,Propulsion,Low,2.5,Vandenberg Space Force Base,Upper Stage Burn,1.07,1.19,1.13,1,1.13,Low,Low
Electron/Curie | Running Out Of Toes,Rocket Lab,Electron/Curie,5/15/2021,Electrical Connection,High,7.5,Jiuquan Satellite Launch Center,Upper Stage Burn,4.87,5.16,5.01,1.3778,6.91,Low,Low
GSLV Mk II | EOS-03 (GISAT-1),ISRO,GSLV Mk II,8/12/2021,Propulsion,High,47,Plesetsk Cosmodrome,Upper Stage Burn,18.88,26.76,22.82,0.9778,22.32,Medium,Medium
Astra Rocket 3.3 | STP-27AD1,Astra Space,Astra Rocket 3.3,8/28/2021,Propulsion,Low,2.5,Cape Canaveral / Kennedy Space Center,Liftoff Ascent,0.53,0.73,0.63,1,0.63,Low,Low
Alpha | DREAM (Demo Flight),Firefly Aerospace,Alpha,9/3/2021,Electrical Connection,New,15,Cape Canaveral / Kennedy Space Center,Liftoff Ascent,4.77,5.18,4.97,1,4.97,Low,Low
Proton-M/Briz-M | Ekspress-AMU3 & AMU7,Roscosmos,Proton-M/Briz-M,12/13/2021,Propulsion,High,65,Baikonur Cosmodrome,Upper Stage Burn,34.02,40.6,37.31,1.1556,43.11,High,High
Kuaizhou-1A | GeeSAT-1A & 1B,ExPace,Kuaizhou-1A,12/15/2021,Unknown,High,5.8,Spaceport Cornwall,Unknown,2.59,1.88,2.24,0.8444,1.89,Low,Low
Angara A5/Blok DM-03 | MGM nÂ°3,VKS RF,Angara A5/Blok DM-03 ,12/27/2021,Propulsion,New,100,Pacific Spaceport Complex,Upper Stage Burn,67.62,65.35,66.49,1,66.49,Critical,Critical
Rocket 3 | VCLS Demo-2A,Astra Space,Rocket 3,2/11/2022,Separation System,Low,2.5,Cape Canaveral / Kennedy Space Center,Upper Stage Burn,1.26,1.29,1.28,1,1.28,Low,Low
Rocket 3 | TROPICS Flight 1,Astra Space,Rocket 3,6/12/2022,Propulsion,Medium,2.5,Tanegashima Space Center,Upper Stage Burn,1.36,1.34,1.35,0.8444,1.14,Low,Low
Alpha | To The Black,Firefly Aerospace,Alpha,10/1/2022,Propulsion,Low,15,Vandenberg Space Force Base,Upper Stage Burn,6.45,7.17,6.81,0.8444,5.75,Low,Low
Epsilon PBS | RAISE-3 & Others,JAXA,Epsilon PBS,10/12/2022,GNC,Medium,39,Rocket Lab Launch Complex 1,Upper Stage Burn,14.68,19.29,16.98,1,16.98,Medium,Medium
LauncherOne | Start Me Up,Virgin Orbit,LauncherOne,1/10/2023,Propulsion,Medium,12,Jiuquan Satellite Launch Center,Upper Stage Burn,10.95,9.83,10.39,1.1111,11.55,Medium,Medium
RS1 Block 1 | DEMO-1 (Test Launch),ABL SS,RS1 Block 1,1/11/2023,Electrical Connection,New,12,Spaceport Kii,Liftoff Ascent,5.7,5.08,5.39,1,5.39,Low,Low
H3-22S | ALOS-3,MHI,H3-22S,3/7/2023,Electrical Connection,New,50,Vandenberg Space Force Base,Upper Stage Burn,36.58,31.44,34.01,1,34.01,High,High
"Terran 1 | Good Luck, Have Fun",Relativity Space,Terran 1,3/23/2023,Propulsion,New,12,Spaceport Kii,Upper Stage Burn,10.04,8.17,9.11,1,9.11,Low,Low
Electron/Curie | We Will Never Desert You,Rocket Lab,Electron/Curie,9/19/2023,Electrical Connection,High,7.5,Vandenberg Space Force Base,Upper Stage Burn,3.33,3.64,3.48,1.3556,4.72,Low,Low
Ceres 1 | Autumn Sonata,Galactic Energy,Ceres 1,9/21/2023,Structural,Medium,4.38,Satish Dhawan Space Centre,Liftoff Ascent,1.33,1.48,1.4,1,1.4,Low,Low
Alpha | Fly the Lightning,Firefly Aerospace,Alpha,12/22/2023,GNC,Low,15,Vandenberg Space Force Base,Upper Stage Burn,5.96,6.92,6.44,0.9556,6.16,Low,Low
Long March 2C/YZ-1S | DRO-A/B,CASC,Long March 2C/YZ-1S,3/13/2024,Propulsion,High,30.8,Xichang Satellite Launch Center,Upper Stage Burn,17.25,18.51,17.88,1,17.88,Medium,Medium
Kairos | Maiden Flight,Space One,Kairos,3/13/2024,Propulsion,New,9,Jiuquan Satellite Launch Center,Liftoff Ascent,8.24,4.91,6.57,1,6.57,Low,Low
Ariane 62 | ESA Rideshares - Demo Flight,ESA,Ariane 62,7/10/2024,Electrical Connection,New,88,Guiana Space Centre,Upper Stage Burn,41.35,43.81,42.58,1,42.58,High,High
Falcon 9 Block 5 | Starlink Group 9-3,SpaceX,Falcon 9 Block 5,7/12/2024,Propulsion,High,74,Tanegashima Space Center,Upper Stage Burn,23.96,31.44,27.7,1,27.7,Medium,Medium
Kairos | Flight 2,Space One,Kairos,12/18/2024,GNC,Low,9,Xichang Satellite Launch Center,Liftoff Ascent,4.9,3.62,4.26,0.8444,3.59,Low,Low
Alpha Block 1 | Message In A Booster,Firefly Aerospace,Alpha Block 1,4/29/2025,Structural,Medium,15,Spaceport Kii,Upper Stage Burn,9.05,8.47,8.76,1,8.76,Low,Low
PSLV XL | EOS-09 (RISAT-1B),ISRO,PSLV XL,5/18/2025,Propulsion,High,31,Baikonur Cosmodrome,Upper Stage Burn,24.7,23.6,24.15,1,24.15,Medium,Medium
Ceres 1 | Jilin-1 High Resolution-04C & Others,Galactic Energy,Ceres 1,11/10/2025,Electrical Connection,High,4.38,Baikonur Cosmodrome,Upper Stage Burn,3.08,3.13,3.1,0.8444,2.62,Low,Low
H3-22S | Michibiki 5,MHI,H3-22S,12/22/2025,Propulsion,Medium,50,Baikonur Cosmodrome,Upper Stage Burn,50,43.14,46.57,0.7111,33.12,High,High
Long March 3B/E | Shijian-32,CASC,Long March 3B/E,1/16/2026,Propulsion,High,29.15,Jiuquan Satellite Launch Center,Upper Stage Burn,20.82,20.99,20.9,1.1556,24.16,Medium,Medium
Kairos | Flight 3,Space One,Kairos,3/4/2026,Unknown,Low,9,Uchinoura Space Center,Liftoff Ascent,3.83,3.59,3.71,0.9556,3.54,Low,Low
